pair;timestamp;unix_timestamp
XRPEUR;'2017-01-03T12:07:00';
XRPUSD;'2016-12-16T15:34:00';
XRPUSDT;'2021-06-10T15:57:00';
XRPBTC;'2017-02-10T15:39:00';
XRPGBP;'2020-05-28T13:23:00';
BTCUSD;'2011-08-18T15:37:00';
BTCEUR;'2016-04-16T19:55:00';
BTCGBP;'2020-05-28T12:40:00';
BTCUSDC;'2020-10-19T12:05:00';
BTCUSDT;'2021-06-10T15:55:00';
LTCBTC;'2017-06-16T15:41:00';
LTCUSD;'2017-06-16T14:09:00';
LTCEUR;'2017-06-16T15:17:00';
ETHBTC;'2017-08-16T20:11:00';
ETHUSD;'2017-08-16T19:45:00';
ETHEUR;'2017-08-16T19:52:00';
ETHGBP;'2020-05-28T12:56:00';
BCHUSD;'2017-12-04T17:03:00';
BCHEUR;'2017-12-04T17:46:00';
BCHBTC;'2017-12-04T18:12:00';
XLMBTC;'2020-05-28T10:53:00';
XLMUSD;'2020-05-28T11:31:00';
XLMEUR;'2020-05-28T11:15:00';
XLMGBP;'2020-05-28T13:13:00';
